"Lon","Lat","Clim_Range","SE"
113.375,-23.9749984741211,4.59999847412109,0.510003043962979
113.375,-23.9249954223633,4.63999938964844,0.511820038876512
113.375,-23.875,4.68999862670898,0.514387116253885
113.424987792969,-23.9749984741211,4.57999992370605,0.508907225127156
113.424987792969,-23.9249954223633,4.63000106811523,0.511402522253729
113.424987792969,-23.875,4.69999885559082,0.513985381772073
113.424987792969,-23.8249969482422,4.73999977111816,0.516091344610453
113.424987792969,-23.7749938964844,4.80000114440918,0.518392694508257
113.475006103516,-23.875,4.69999885559082,0.514555487264856
113.475006103516,-23.8249969482422,4.75,0.516514126600751
113.475006103516,-23.7749938964844,4.78999900817871,0.518238703444334
113.475006103516,-23.7249984741211,4.82999992370605,0.520235676418087
113.475006103516,-23.6749954223633,4.85999870300293,0.522152889747444
113.475006103516,-23.625,4.89000129699707,0.524114637681246
113.524993896484,-23.875,4.70999908447266,0.514437687816774
113.524993896484,-23.8249969482422,4.75,0.516651262846116
113.524993896484,-23.7749938964844,4.78999900817871,0.518888335723282
113.524993896484,-23.7249984741211,4.82000160217285,0.520556995982813
113.524993896484,-23.6749954223633,4.85000038146973,0.521964695528757
113.524993896484,-23.625,4.86999893188477,0.523706899155019
113.524993896484,-23.5749969482422,4.89000129699707,0.524934041324421
113.524993896484,-22.7249984741211,5.18000030517578,0.54983173858296
113.524993896484,-22.6749954223633,5.19000053405762,0.551391281843316
113.524993896484,-22.625,5.18999862670898,0.552922583326236
113.524993896484,-22.5749969482422,5.20000076293945,0.554543833462266
113.575012207031,-23.7749938964844,4.79999923706055,0.519968306524854
113.575012207031,-23.7249984741211,4.82999992370605,0.521137356647995
113.575012207031,-23.6749954223633,4.85000038146973,0.522553260455604
113.575012207031,-23.625,4.8700008392334,0.523285558515624
113.575012207031,-23.5749969482422,4.86999893188477,0.523761640776956
113.575012207031,-23.5249938964844,4.88000106811523,0.525080610309665
113.575012207031,-22.7749938964844,5.13999938964844,0.546967337388492
113.575012207031,-22.7249984741211,5.15999984741211,0.549239783786116
113.575012207031,-22.6749954223633,5.16999816894531,0.551179613662949
113.575012207031,-22.625,5.19000053405762,0.553118062978189
113.575012207031,-22.5749969482422,5.20000076293945,0.554782075308225
113.575012207031,-22.5249938964844,5.20999908447266,0.556568167663817
113.575012207031,-22.4749984741211,5.23000144958496,0.558103518128687
113.625,-23.6749954223633,4.85000038146973,0.523365237620709
113.625,-23.625,4.85000038146973,0.523489391784071
113.625,-23.5749969482422,4.86000061035156,0.524010395294192
113.625,-23.5249938964844,4.85999870300293,0.524454159529323
113.625,-23.1749954223633,5,0.533901231133316
113.625,-23.125,5.01999855041504,0.536067902135809
113.625,-23.0749969482422,5.05000114440918,0.538269550611619
113.625,-22.875,5.11000061035156,0.544122076921033
113.625,-22.8249969482422,5.10999870300293,0.544676515389815
113.625,-22.7749938964844,5.1200008392334,0.546229906404998
113.625,-22.7249984741211,5.14000129699707,0.548468241308707
113.625,-22.6749954223633,5.15999984741211,0.550935591330155
113.625,-22.625,5.18000030517578,0.552605851888474
113.625,-22.5749969482422,5.19999885559082,0.554924817144082
113.625,-22.5249938964844,5.21000099182129,0.556685711097616
113.625,-22.4749984741211,5.21999931335449,0.558420526757924
113.625,-22.4249954223633,5.22999954223633,0.560053873518934
113.625,-22.375,5.23999977111816,0.561019578468085
113.674987792969,-23.5749969482422,4.85000038146973,0.524092960260673
113.674987792969,-23.5249938964844,4.85000038146973,0.524099640684683
113.674987792969,-23.4749984741211,4.83999824523926,0.523803035086721
113.674987792969,-23.4249954223633,4.86000061035156,0.524142711643558
113.674987792969,-23.375,4.86000061035156,0.52450470683881
113.674987792969,-23.3249969482422,4.89000129699707,0.526229531632773
113.674987792969,-23.2749938964844,4.92000007629395,0.528361442700843
113.674987792969,-23.2249984741211,4.94999885559082,0.530555444310007
113.674987792969,-23.1749954223633,4.96000099182129,0.532263608880629
113.674987792969,-23.125,4.98999977111816,0.534459675008994
113.674987792969,-23.0749969482422,5.01000022888184,0.536575183816476
113.674987792969,-23.0249938964844,5.03000068664551,0.538387661246031
113.674987792969,-22.9749984741211,5.05000114440918,0.539636403160986
113.674987792969,-22.9249954223633,5.05999946594238,0.541236364161873
113.674987792969,-22.875,5.07000160217285,0.542499138601877
113.674987792969,-22.8249969482422,5.07999992370605,0.543687301913222
113.674987792969,-22.7749938964844,5.10000038146973,0.545388615154423
113.674987792969,-22.7249984741211,5.11999893188477,0.5476926634794
113.674987792969,-22.6749954223633,5.13999938964844,0.54943239922504
113.674987792969,-22.625,5.17000007629395,0.55266018497333
113.674987792969,-22.5749969482422,5.18999862670898,0.554844048205849
113.674987792969,-22.5249938964844,5.20000076293945,0.55679458966721
113.674987792969,-22.4749984741211,5.21999931335449,0.558675353116048
113.674987792969,-22.4249954223633,5.22999954223633,0.560518338387356
113.674987792969,-22.375,5.23999977111816,0.562093632258366
113.674987792969,-22.3249969482422,5.22999954223633,0.562516540788518
113.674987792969,-22.2749938964844,5.23999977111816,0.563250859177412
113.725006103516,-23.5749969482422,4.84000015258789,0.524136866493237
113.725006103516,-23.5249938964844,4.84000015258789,0.524517705723016
113.725006103516,-23.4749984741211,4.84000015258789,0.523659097416726
113.725006103516,-23.4249954223633,4.84000015258789,0.523544892820969
113.725006103516,-23.375,4.85000038146973,0.523985994169735
113.725006103516,-23.3249969482422,4.86999893188477,0.525115901656343
113.725006103516,-23.2749938964844,4.90000152587891,0.526624250668412
113.725006103516,-23.2249984741211,4.92000007629395,0.528944506009384
113.725006103516,-23.1749954223633,4.94999885559082,0.531375186800354
113.725006103516,-23.125,4.96999931335449,0.533289471001201
113.725006103516,-23.0749969482422,4.97999954223633,0.535130732241207
113.725006103516,-23.0249938964844,5.01000022888184,0.53738324694852
113.725006103516,-22.9749984741211,5.01999855041504,0.539017642516332
113.725006103516,-22.9249954223633,5.03000068664551,0.540818478473409
113.725006103516,-22.875,5.04999923706055,0.542008511685877
113.725006103516,-22.8249969482422,5.06999969482422,0.544089429974118
113.725006103516,-22.7749938964844,5.06999969482422,0.544602224608689
113.725006103516,-22.7249984741211,5.09000015258789,0.546114847620516
113.725006103516,-22.5249938964844,5.21000099182129,0.557319716414407
113.725006103516,-22.4749984741211,5.20999908447266,0.558805688337078
113.725006103516,-22.4249954223633,5.22999954223633,0.561027376742662
113.725006103516,-22.375,5.23999977111816,0.56301880793281
113.725006103516,-22.3249969482422,5.23999977111816,0.564076444131331
113.725006103516,-22.2749938964844,5.22999954223633,0.563983987380896
113.725006103516,-22.2249984741211,5.22999954223633,0.56397997280316
113.725006103516,-22.1749954223633,5.23999977111816,0.564373018473868
113.774993896484,-23.4749984741211,4.84000015258789,0.524047489609954
113.774993896484,-23.4249954223633,4.84000015258789,0.524021532439193
113.774993896484,-23.375,4.84000015258789,0.523867965350387
113.774993896484,-23.3249969482422,4.85999870300293,0.524960987149821
113.774993896484,-23.2749938964844,4.88000106811523,0.526303410281907
113.774993896484,-23.2249984741211,4.90999984741211,0.528490352054478
113.774993896484,-23.1749954223633,4.92999839782715,0.531135087987352
113.774993896484,-23.125,4.95000076293945,0.533245473510071
113.774993896484,-23.0749969482422,4.95999908447266,0.534873868540106
113.774993896484,-23.0249938964844,4.97999954223633,0.536676658037122
113.774993896484,-22.9749984741211,4.98999977111816,0.538431833088323
113.774993896484,-22.9249954223633,5,0.539675070537798
113.774993896484,-22.875,5.02000045776367,0.542026714643002
113.774993896484,-22.8249969482422,5.04000091552734,0.542593916596351
113.774993896484,-22.7749938964844,5.05999946594238,0.544560516808854
113.774993896484,-22.375,5.22000122070312,0.563181613326747
113.774993896484,-22.3249969482422,5.22999954223633,0.564621704433089
113.774993896484,-22.2749938964844,5.21999931335449,0.565063816511414
113.774993896484,-22.2249984741211,5.22000122070312,0.564853291250033
113.774993896484,-22.1749954223633,5.22999954223633,0.565517323433895
113.774993896484,-22.125,5.22999954223633,0.564722846227127
113.774993896484,-22.0249938964844,5.23999977111816,0.564007814583196
113.825012207031,-23.0749969482422,4.95000076293945,0.534829497461668
113.825012207031,-23.0249938964844,4.96000099182129,0.536853637108832
113.825012207031,-22.9749984741211,4.97999954223633,0.538510093547371
113.825012207031,-22.9249954223633,4.97999954223633,0.540107901771347
113.825012207031,-22.875,5,0.540930034212265
113.825012207031,-22.3249969482422,5.21000099182129,0.565199616314958
113.825012207031,-22.2749938964844,5.20999908447266,0.56533909343114
113.825012207031,-22.2249984741211,5.21000099182129,0.565369077737784
113.825012207031,-22.1749954223633,5.21999931335449,0.566106181311637
113.825012207031,-22.125,5.20999908447266,0.565582708470912
113.825012207031,-22.0749969482422,5.22000122070312,0.565726098424545
113.825012207031,-22.0249938964844,5.21999931335449,0.56489786934236
113.825012207031,-21.9749984741211,5.22999954223633,0.564391959447941
113.825012207031,-21.9249954223633,5.23000144958496,0.563762387838048
113.825012207031,-21.875,5.22999954223633,0.563207147532824
113.875,-22.1749954223633,5.20000076293945,0.566918137803263
113.875,-22.125,5.19999885559082,0.566657948780514
113.875,-22.0749969482422,5.20000076293945,0.566308299771293
113.875,-22.0249938964844,5.21000099182129,0.56613854093878
113.875,-21.9749984741211,5.21999931335449,0.565439568798157
113.875,-21.9249954223633,5.22999954223633,0.565096027651394
113.875,-21.875,5.22999954223633,0.564645608447573
113.875,-21.8249969482422,5.23999977111816,0.564715497271998
113.875,-21.7749938964844,5.25,0.565168802625316
113.924987792969,-22.0749969482422,5.19000053405762,0.566805239708114
113.924987792969,-22.0249938964844,5.20000076293945,0.566554571377865
113.924987792969,-21.9749984741211,5.19999885559082,0.56543600719606
113.924987792969,-21.9249954223633,5.21999931335449,0.565676626791772
113.924987792969,-21.875,5.22000122070312,0.565952478989798
113.924987792969,-21.8249969482422,5.22999954223633,0.565493909138842
113.924987792969,-21.7749938964844,5.2400016784668,0.565702210895949
113.924987792969,-21.7249984741211,5.25,0.565794529016929
113.975006103516,-21.9249954223633,5.20999908447266,0.566735815481995
113.975006103516,-21.875,5.22000122070312,0.56705226149301
113.975006103516,-21.8249969482422,5.22999954223633,0.56810327907982
113.975006103516,-21.7749938964844,5.23999977111816,0.56738921452304
113.975006103516,-21.7249984741211,5.23999977111816,0.566984877713691
113.975006103516,-21.6749954223633,5.23999977111816,0.565988552494551
114.024993896484,-21.875,5.20999908447266,0.568799216840051
114.024993896484,-21.8249969482422,5.22000122070312,0.570262008049615
114.024993896484,-21.7749938964844,5.22999954223633,0.569667755491464
114.024993896484,-21.7249984741211,5.2400016784668,0.568360810021196
114.075012207031,-22.2249984741211,6.68999862670898,0.682823308096084
114.075012207031,-21.8249969482422,5.20999908447266,0.574982789747473
114.075012207031,-21.7749938964844,5.22000122070312,0.57283724262296
114.075012207031,-21.7249984741211,5.23999977111816,0.571399733793218
114.125,-22.4749984741211,6.88000106811523,0.690999321739667
114.125,-22.4249954223633,6.88000106811523,0.6920843896974
114.125,-22.375,6.89000129699707,0.694127534824079
114.125,-22.3249969482422,6.8700008392334,0.694266947654795
114.125,-22.2749938964844,6.82999992370605,0.693019136244569
114.125,-22.2249984741211,6.76000022888184,0.689261888494068
114.125,-22.1749954223633,6.68999862670898,0.68462368486018
114.125,-22.0249938964844,6.34999847412109,0.663174290166796
114.125,-21.9749984741211,6.20000076293945,0.649854104018795
114.125,-21.9249954223633,6.01999855041504,0.634647787964953
114.125,-21.8249969482422,5.25,0.585221327445442
114.125,-21.7749938964844,5.20999908447266,0.578669252666347
114.125,-21.7249984741211,5.22000122070312,0.574085619364916
114.174987792969,-22.4749984741211,6.91000175476074,0.693981004825307
114.174987792969,-22.4249954223633,6.90999984741211,0.695488094012702
114.174987792969,-22.375,6.92000007629395,0.697981307651041
114.174987792969,-22.3249969482422,6.92000007629395,0.699707545922289
114.174987792969,-22.2749938964844,6.89999961853027,0.700181807023409
114.174987792969,-22.2249984741211,6.84000015258789,0.69731250751725
114.174987792969,-22.1749954223633,6.77000045776367,0.692935584632085
114.174987792969,-22.0249938964844,6.42000007629395,0.667174379681744
114.174987792969,-21.9749984741211,6.25,0.651978773151791
114.174987792969,-21.9249954223633,6.05999946594238,0.636466912647928
114.174987792969,-21.875,5.77000045776367,0.61595107102825
114.174987792969,-21.8249969482422,5.45000076293945,0.596363347735692
114.174987792969,-21.7749938964844,5.23999977111816,0.585028966459757
114.174987792969,-21.7249984741211,5.20999908447266,0.578908906076963
114.174987792969,-21.6749954223633,5.22999954223633,0.573941667133651
114.225006103516,-22.4749984741211,6.94999885559082,0.69850245066693
114.225006103516,-22.4249954223633,6.96999931335449,0.701131538557333
114.225006103516,-22.375,6.97999954223633,0.704263357404146
114.225006103516,-22.3249969482422,6.98000144958496,0.7068167242376
114.225006103516,-22.2749938964844,6.97000122070312,0.708050162434686
114.225006103516,-22.2249984741211,6.93000030517578,0.706740288577251
114.225006103516,-21.9749984741211,6.34999847412109,0.658170424108155
114.225006103516,-21.9249954223633,6.1299991607666,0.640819535126998
114.225006103516,-21.875,5.88000106811523,0.622657934680369
114.225006103516,-21.8249969482422,5.60999870300293,0.605107565155461
114.225006103516,-21.7749938964844,5.38000106811523,0.59246708116651
114.225006103516,-21.7249984741211,5.22000122070312,0.583835895430957
114.225006103516,-21.6749954223633,5.22000122070312,0.57804641898577
114.225006103516,-21.625,5.2400016784668,0.573732008898464
114.274993896484,-22.4249954223633,7,0.7060294078232
114.274993896484,-22.375,7.01000022888184,0.70960652939256
114.274993896484,-22.3249969482422,7.01999855041504,0.712701253720427
114.274993896484,-22.2749938964844,7.02999877929688,0.715779215002046
114.274993896484,-21.9249954223633,6.25,0.648755704399928
114.274993896484,-21.875,6.01000022888184,0.629889793108408
114.274993896484,-21.8249969482422,5.76000022888184,0.61340018617736
114.274993896484,-21.7749938964844,5.52999877929688,0.600016199049012
114.274993896484,-21.7249984741211,5.32999992370605,0.589786152642463
114.274993896484,-21.6749954223633,5.20999908447266,0.582605595993871
114.274993896484,-21.625,5.22999954223633,0.577973907886968
114.274993896484,-21.5749969482422,5.25,0.574266506258656
114.325012207031,-22.375,7.02999877929688,0.712923019872325
114.325012207031,-22.3249969482422,7.04999923706055,0.717333457851501
114.325012207031,-21.8249969482422,5.92000007629395,0.623545691690164
114.325012207031,-21.7749938964844,5.69000053405762,0.608805951009945
114.325012207031,-21.7249984741211,5.47999954223633,0.597785080103852
114.325012207031,-21.6749954223633,5.30000114440918,0.588466773153561
114.325012207031,-21.625,5.21000099182129,0.582025636961361
114.325012207031,-21.5749969482422,5.23999977111816,0.578007848797717
114.325012207031,-21.5249938964844,5.25,0.574165355531402
114.375,-21.875,6.29999923706055,0.651466708734216
114.375,-21.8249969482422,6.09000015258789,0.634894737904067
114.375,-21.7749938964844,5.86000061035156,0.619592311942022
114.375,-21.7249984741211,5.63999938964844,0.606881540658058
114.375,-21.6749954223633,5.44999885559082,0.596692974678041
114.375,-21.625,5.28000068664551,0.588227823486233
114.375,-21.5749969482422,5.23000144958496,0.582488381226173
114.375,-21.5249938964844,5.25,0.577971147145111
114.424987792969,-21.875,6.43999862670898,0.662706162700078
114.424987792969,-21.8249969482422,6.25,0.647480550629894
114.424987792969,-21.7749938964844,6.04000091552734,0.632289579920435
114.424987792969,-21.7249984741211,5.81999969482422,0.618292296288824
114.424987792969,-21.6749954223633,5.60999870300293,0.606202566486997
114.424987792969,-21.625,5.40999984741211,0.596353108495287
114.424987792969,-21.5749969482422,5.27999877929688,0.58786907513981
114.424987792969,-21.5249938964844,5.26000022888184,0.582943794363254
114.475006103516,-21.8249969482422,6.3799991607666,0.658945392380761
114.475006103516,-21.7749938964844,6.19000053405762,0.644108913096295
114.475006103516,-21.7249984741211,5.98999977111816,0.630104045198401
114.475006103516,-21.6749954223633,5.76999855041504,0.616869021721702
114.475006103516,-21.625,5.54000091552734,0.604084973421999
114.475006103516,-21.5749969482422,5.38000106811523,0.594425504207893
114.524993896484,-21.7749938964844,6.34000015258789,0.656431475002498
114.524993896484,-21.7249984741211,6.13999938964844,0.64221093324738
114.524993896484,-21.6749954223633,5.92000007629395,0.627954152446855
114.524993896484,-21.625,5.69000053405762,0.613891391792123
114.575012207031,-21.7249984741211,6.26000022888184,0.653169257270491
114.825012207031,-21.5249938964844,6.23999977111816,0.655945392366792
114.825012207031,-21.4749984741211,6.06999969482422,0.643631227378434
114.875,-21.5749969482422,6.57999992370605,0.682549157717627
114.875,-21.5249938964844,6.43000030517578,0.671196195908266
114.875,-21.4749984741211,6.26000022888184,0.658818374534117
114.875,-21.4249954223633,6.09000015258789,0.646932201931708
114.924987792969,-21.625,6.81999969482422,0.702841093059958
114.924987792969,-21.5749969482422,6.72999954223633,0.696244754295221
114.924987792969,-21.5249938964844,6.61999893188477,0.687833061220997
114.924987792969,-21.4749984741211,6.46999931335449,0.676103861083748
114.924987792969,-21.4249954223633,6.29000091552734,0.663873532937026
114.924987792969,-21.375,6.1299991607666,0.652546779511464
114.924987792969,-21.2749938964844,5.85000038146973,0.63294204059859
114.924987792969,-21.2249984741211,5.72999954223633,0.625222986832385
114.975006103516,-21.5749969482422,6.88999938964844,0.711003412807654
114.975006103516,-21.5249938964844,6.79999923706055,0.704328098444973
114.975006103516,-21.4749984741211,6.67000007629395,0.695018473752455
114.975006103516,-21.4249954223633,6.51999855041504,0.683576973951202
114.975006103516,-21.375,6.36000061035156,0.671694469589279
114.975006103516,-21.3249969482422,6.20000076293945,0.659994804604467
114.975006103516,-21.2749938964844,6.03999900817871,0.649093900234834
114.975006103516,-21.2249984741211,5.90999984741211,0.639311121366838
114.975006103516,-21.1749954223633,5.78000068664551,0.629774277996464
